order_id,product_grp_id,quantity,price
71270,92,1,39.9900016784668
71271,34,1,39.9900016784668
71272,34,3,33.3300018310547
71273,108,1,24.9500007629395
71273,92,1,39.9900016784668
71274,34,6,25
71275,34,3,33.3300018310547
71276,221,1,34.1500015258789
71277,92,3,19.9899997711182
71277,101,1,34.9500007629395
71278,34,3,33.3300018310547
71279,34,6,25
71280,230,3,33.3300018310547
71281,92,1,39.9900016784668
71281,37,1,39.9900016784668
71282,34,1,39.9900016784668
71283,34,3,33.3300018310547
71284,34,3,33.3300018310547
71285,230,3,33.3300018310547
71286,34,1,39.9900016784668
71287,92,1,39.9900016784668
71288,233,1,39.9900016784668
71289,34,6,25
71290,34,3,33.3300018310547
71291,34,3,33.3300018310547
71292,235,6,25
71293,34,3,33.3300018310547
71294,92,3,19.9899997711182
71295,92,3,19.9899997711182
71295,233,1,39.9900016784668
71296,26,1,74.9499969482422
71297,34,1,39.9900016784668
71298,34,3,33.3300018310547
71299,34,6,25
71300,173,1,199.949996948242
71301,92,2,24.9899997711182
71302,233,1,39.9900016784668
71303,34,3,33.3300018310547
71304,34,1,39.9900016784668
71305,34,3,33.3300018310547
71306,22,1,29.9500007629395
71307,34,3,33.3300018310547
71308,34,3,33.3300018310547
71309,34,1,39.9900016784668
71310,34,3,33.3300018310547
71311,34,3,33.3300018310547
71312,34,3,33.3300018310547
71313,92,3,19.9899997711182
71314,34,1,39.9900016784668
71315,34,1,39.9900016784668
71316,34,3,33.3300018310547
71317,34,3,33.3300018310547
71318,34,6,25
71319,92,1,39.9900016784668
71320,92,1,39.9900016784668
71321,34,3,33.3300018310547
71322,92,2,24.9899997711182
71323,34,1,39.9900016784668
71324,34,1,39.9900016784668
71325,34,3,33.3300018310547
71326,34,6,25
71327,34,3,33.3300018310547
71328,230,1,39.9900016784668
71329,92,3,19.9899997711182
71330,233,1,39.9900016784668
71331,34,6,25
71332,34,1,39.9900016784668
71333,34,6,25
71334,92,2,24.9899997711182
71335,34,3,33.3300018310547
71336,230,1,39.9900016784668
71337,34,3,33.3300018310547
71337,104,1,24.9500007629395
71338,92,1,39.9900016784668
71339,34,1,39.9900016784668
71340,92,1,39.9900016784668
71341,37,1,39.9900016784668
71342,92,3,19.9899997711182
71343,34,1,39.9900016784668
71344,34,1,39.9900016784668
71345,34,3,33.3300018310547
71346,34,3,33.3300018310547
71347,92,2,24.9899997711182
71348,230,3,33.3300018310547
71349,34,6,25
71350,92,1,39.9900016784668
71351,34,1,39.9900016784668
71352,34,1,39.9900016784668
71353,34,1,39.9900016784668
71354,34,3,33.3300018310547
71355,92,1,39.9900016784668
71356,26,1,74.9499969482422
71357,34,3,33.3300018310547
71358,34,3,33.3300018310547
71359,34,3,33.3300018310547
71360,92,1,39.9900016784668
71361,34,6,25
71362,34,3,33.3300018310547
71363,92,3,19.9899997711182
71364,92,2,24.9899997711182
